,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Monthly Income,Debt-to-Income Ratio,Credit Utilization Ratio
32,Charged Off,130174.0,Short Term,733.0,524609.0,0-1 year,Rent,Debt Consolidation,9311.71,15.4,7.0,1.0,130701.0,268818.0,1.0,0.0,43717.416666666664,0.21299771830067726,0.48620628082940875
33,Fully Paid,333564.0,Long Term,725.0,1248338.0,10+ years,Home Mortgage,Debt Consolidation,18205.04,14.6,18.0,0.0,300979.0,515526.0,0.0,0.0,104028.16666666667,0.1750010654165779,0.5838289436420278
35,Fully Paid,125796.0,Short Term,745.0,1261068.0,4-6 years,Home Mortgage,Debt Consolidation,20597.33,24.5,13.0,0.0,684817.0,997414.0,0.0,0.0,105089.0,0.19599891520520704,0.6865925282781272
37,Fully Paid,161172.0,Short Term,720.0,796499.0,7-9 years,Home Mortgage,Debt Consolidation,3404.99,22.6,6.0,1.0,114095.0,170038.0,0.0,0.0,66374.91666666667,0.05129934877507692,0.6709970712428986
39,Fully Paid,449108.0,Short Term,718.0,1454507.0,7-9 years,Home Mortgage,Debt Consolidation,13090.43,28.8,14.0,0.0,193990.0,458414.0,0.0,0.0,121208.91666666667,0.10799890272099068,0.4231764300392222
40,Charged Off,688468.0,Long Term,682.0,1494616.0,0-1 year,Rent,Debt Consolidation,14697.07,16.6,8.0,0.0,343995.0,843854.0,0.0,0.0,124551.33333333333,0.11800010169836266,0.407647531445013
44,Fully Paid,311762.0,Long Term,680.0,2211657.0,4-6 years,Home Mortgage,Debt Consolidation,44601.74,14.5,11.0,0.0,213921.0,509652.0,0.0,0.0,184304.75,0.24199994845493672,0.4197393515575334
45,Fully Paid,266112.0,Short Term,750.0,919296.0,0-1 year,Rent,Debt Consolidation,12946.79,21.6,9.0,0.0,266266.0,485518.0,0.0,0.0,76608.0,0.16900049603174605,0.5484163305994835
46,Fully Paid,129712.0,Short Term,723.0,1465698.0,10+ years,Own Home,Debt Consolidation,18199.15,19.4,34.0,1.0,45106.0,163218.0,0.0,0.0,122141.5,0.1490005444504939,0.276354323665282
47,Fully Paid,287980.0,Short Term,737.0,1013954.0,0-1 year,Home Mortgage,Debt Consolidation,16138.6,18.6,11.0,0.0,223117.0,489302.0,0.0,0.0,84496.16666666667,0.19099801371659858,0.45599036995556935
48,Fully Paid,439428.0,Short Term,710.0,1518024.0,7-9 years,Rent,Debt Consolidation,20923.56,17.8,11.0,0.0,209304.0,265716.0,0.0,0.0,126502.0,0.16540102132772605,0.7876981438829427
50,Fully Paid,518012.0,Long Term,719.0,1193010.0,10+ years,Own Home,Debt Consolidation,22667.38,20.9,11.0,0.0,452770.0,1080926.0,0.0,0.0,99417.5,0.2280019111323459,0.41887233723677664
53,Charged Off,374176.0,Long Term,652.0,1239199.0,10+ years,Home Mortgage,Other,5163.25,36.6,10.0,0.0,126350.0,415602.0,0.0,0.0,103266.58333333333,0.04999923337575321,0.3040168237881435
55,Charged Off,176198.0,Short Term,736.0,1902090.0,10+ years,Home Mortgage,Debt Consolidation,28372.89,15.4,9.0,0.0,206872.0,620554.0,0.0,0.0,158507.5,0.1790002996703626,0.333366636908311
57,Fully Paid,669372.0,Short Term,725.0,2158210.0,7-9 years,Home Mortgage,Debt Consolidation,34711.29,9.2,17.0,0.0,496052.0,638176.0,0.0,0.0,179850.83333333334,0.19300044017959328,0.777296545153688
58,Fully Paid,130922.0,Short Term,747.0,2261304.0,2-3 years,Rent,Debt Consolidation,9761.25,16.1,6.0,0.0,110428.0,235488.0,0.0,0.0,188442.0,0.051799758015728975,0.4689325995379807
59,Fully Paid,174548.0,Short Term,721.0,1620681.0,4-6 years,Rent,Leisure,30522.74,15.0,7.0,0.0,40489.0,128832.0,0.0,0.0,135056.75,0.22599936693278938,0.3142775086934923
61,Fully Paid,718784.0,Long Term,672.0,1648915.0,10+ years,Home Mortgage,Debt Consolidation,15664.74,12.0,10.0,0.0,252016.0,489610.0,0.0,0.0,137409.58333333334,0.11400034568185745,0.5147280488552113
63,Fully Paid,602008.0,Long Term,741.0,2896721.0,2-3 years,Own Home,Debt Consolidation,48278.62,19.6,17.0,0.0,1640974.8999999955,3550305.659999994,0.0,0.0,241393.41666666666,0.19999973763438042,0.46220665406031497
64,Fully Paid,171248.0,Short Term,747.0,3035725.0,10+ years,Home Mortgage,Debt Consolidation,42500.15,31.5,11.0,0.0,25460.0,151140.0,0.0,0.0,252977.08333333334,0.168,0.16845308985046975
66,Fully Paid,323466.0,Long Term,699.0,2048618.0,4-6 years,Home Mortgage,Debt Consolidation,27997.64,14.0,19.0,1.0,389994.0,743952.0,1.0,0.0,170718.16666666666,0.16399918384003265,0.5242193044712562
69,Fully Paid,144562.0,Short Term,751.0,1060922.0,7-9 years,Home Mortgage,Debt Consolidation,19750.88,21.8,7.0,0.0,314773.0,1035408.0,0.0,0.0,88410.16666666667,0.22340055159568753,0.30400866131998205
70,Fully Paid,211222.0,Short Term,694.0,947625.0,4-6 years,Rent,Debt Consolidation,8923.35,18.0,9.0,1.0,93081.0,397694.0,1.0,0.0,78968.75,0.11299849624060151,0.23405180867702305
71,Fully Paid,162360.0,Short Term,720.0,486875.0,10+ years,Rent,Debt Consolidation,8560.83,15.1,16.0,0.0,129504.0,434654.0,0.0,0.0,40572.916666666664,0.21099863414634148,0.29794733282104846
74,Fully Paid,767536.0,Long Term,724.0,4657658.099999993,10+ years,Home Mortgage,Debt Consolidation,53747.96,29.5,13.0,0.0,1426425.0,2510112.0,0.0,0.0,388138.1749999994,0.13847635574624959,0.5682714556163231
76,Fully Paid,389884.0,Short Term,657.0,4657658.099999993,0-1 year,Home Mortgage,Debt Consolidation,42985.22,21.5,14.0,1.0,237500.0,562386.0,1.0,0.0,388138.1749999994,0.11074721006249917,0.42230780993836975
77,Fully Paid,163966.0,Short Term,678.0,719910.0,7-9 years,Home Mortgage,Big Purchase,12778.26,6.4,9.0,1.0,66025.0,138248.0,0.0,1.0,59992.5,0.2129976247030879,0.4775837625137434
78,Fully Paid,433312.0,Short Term,736.0,1010401.0,7-9 years,Home Mortgage,Debt Consolidation,22228.86,16.1,19.0,0.0,201780.0,613228.0,0.0,0.0,84200.08333333333,0.26400045130596667,0.32904564044694634
81,Fully Paid,89320.0,Short Term,748.0,1832075.0,0-1 year,Home Mortgage,Other,13312.92,19.0,6.0,0.0,127946.0,216260.0,0.0,0.0,152672.91666666666,0.08719896292455277,0.5916304448349209
82,Fully Paid,392282.0,Long Term,688.0,974662.0,7-9 years,Home Mortgage,Debt Consolidation,10396.42,12.0,11.0,0.0,35663.0,242946.0,0.0,0.0,81221.83333333333,0.12800031190299818,0.14679393774748298
85,Fully Paid,498586.0,Long Term,666.0,1351679.0,2-3 years,Rent,Other,32214.88,12.2,15.0,0.0,205637.0,433686.0,0.0,0.0,112639.91666666667,0.28599879113310184,0.4741610289472106
86,Fully Paid,378334.0,Short Term,714.0,2120514.0,2-3 years,Rent,Debt Consolidation,35695.3,17.0,12.0,0.0,75335.0,413402.0,0.0,0.0,176709.5,0.201999892478899,0.18223182277782884
88,Charged Off,194942.0,Short Term,742.0,1212238.0,0-1 year,Rent,Debt Consolidation,25254.99,27.4,13.0,1.0,176396.0,339834.0,1.0,0.0,101019.83333333333,0.25000031346979723,0.5190651906519065
89,Fully Paid,731566.0,Short Term,705.0,1377443.0,10+ years,Home Mortgage,Debt Consolidation,13429.96,20.4,18.0,0.0,563008.0,1070432.0,0.0,0.0,114786.91666666667,0.11699904823647873,0.5259633493767002
93,Fully Paid,156772.0,Short Term,748.0,1411966.0,4-6 years,Home Mortgage,Big Purchase,22591.38,18.0,10.0,0.0,38456.0,251548.0,0.0,0.0,117663.83333333333,0.19199935409209573,0.1528773832429596
98,Fully Paid,453464.0,Short Term,712.0,895147.0,2-3 years,Rent,Debt Consolidation,17007.85,14.2,12.0,1.0,137845.0,222926.0,1.0,0.0,74595.58333333333,0.22800076412030648,0.618344203906229
99,Fully Paid,595672.0,Short Term,685.0,1305927.0,10+ years,Rent,Debt Consolidation,13603.43,25.9,8.0,0.0,108148.0,129624.0,0.0,0.0,108827.25,0.12500021823578195,0.8040318383845896
100,Fully Paid,166672.0,Short Term,705.0,1048667.0,10+ years,Home Mortgage,Debt Consolidation,16166.91,16.0,10.0,0.0,167656.0,267014.0,0.0,0.0,87388.91666666667,0.1849995470440092,0.6278921704479915
101,Fully Paid,132792.0,Short Term,751.0,668990.0,4-6 years,Rent,Other,6132.25,14.7,5.0,0.0,61199.0,214742.0,0.0,0.0,55749.166666666664,0.10999715989775632,0.28498849782529734
102,Charged Off,119504.0,Short Term,745.0,938315.0,2-3 years,Home Mortgage,Big Purchase,11807.17,13.0,11.0,0.0,32300.0,104170.0,0.0,0.0,78192.91666666667,0.151000506226587,0.3100700777575118
103,Fully Paid,33022.0,Short Term,723.0,1673007.0,7-9 years,Rent,Debt Consolidation,25234.47,23.3,13.0,0.0,125609.0,323928.0,0.0,0.0,139417.25,0.18099962522571633,0.3877682694919859
104,Fully Paid,448976.0,Short Term,742.0,4071396.0,10+ years,Home Mortgage,Debt Consolidation,10348.16,19.7,7.0,0.0,486001.0,1253340.0,0.0,0.0,339283.0,0.030500084000672004,0.38776469274099606
105,Fully Paid,280588.0,Short Term,717.0,671080.0,2-3 years,Rent,Debt Consolidation,17447.89,10.0,10.0,1.0,168169.0,470360.0,1.0,0.0,55923.333333333336,0.3119966024915062,0.35753252827621396
106,Charged Off,556336.0,Long Term,714.0,1402960.0,10+ years,Home Mortgage,Debt Consolidation,19524.4,19.5,5.0,0.0,317338.0,389246.0,0.0,0.0,116913.33333333333,0.16699891657638138,0.8040318383845896
107,Fully Paid,541310.0,Short Term,722.0,1682982.0,0-1 year,Home Mortgage,Debt Consolidation,52733.36,17.9,13.0,0.0,356288.0,619432.0,0.0,0.0,140248.5,0.37599945810472124,0.5751850082010617
108,Fully Paid,311872.0,Long Term,680.0,1063810.0,4-6 years,Home Mortgage,Debt Consolidation,28191.06,12.2,10.0,0.0,391723.0,591338.0,0.0,0.0,88650.83333333333,0.3180010716199322,0.6624350202422303
110,Charged Off,765160.0,Long Term,719.0,2643242.0,7-9 years,Home Mortgage,Debt Consolidation,34582.47,20.5,19.0,0.0,249755.0,489302.0,0.0,0.0,220270.16666666666,0.157000244396843,0.5104311856481273
111,Charged Off,109802.0,Short Term,745.0,474069.0,0-1 year,Rent,Debt Consolidation,1497.39,11.0,2.0,0.0,91048.0,186604.0,0.0,0.0,39505.75,0.03790309005651076,0.4879209448886412
112,Charged Off,349756.0,Long Term,737.0,2491945.0,2-3 years,Rent,Debt Consolidation,23258.28,21.5,7.0,0.0,270332.0,660396.0,0.0,0.0,207662.08333333334,0.11200060996530821,0.40934833039570195
113,Fully Paid,545886.0,Short Term,718.0,1565182.0,7-9 years,Rent,Debt Consolidation,41477.0,15.0,16.0,0.0,80465.0,296714.0,0.0,0.0,130431.83333333333,0.31799752361067274,0.27118706902943573
115,Fully Paid,354046.0,Long Term,676.0,1815469.0,10+ years,Home Mortgage,Big Purchase,5522.16,13.0,6.0,0.0,20976.0,70840.0,0.0,0.0,151289.08333333334,0.03650071689464265,0.2961038961038961
116,Fully Paid,472098.0,Long Term,692.0,2316575.0,10+ years,Rent,Debt Consolidation,24517.22,28.2,9.0,0.0,454176.0,968506.0,0.0,0.0,193047.91666666666,0.12700069714988724,0.46894495232863814
118,Charged Off,509586.0,Long Term,678.0,1816001.0,2-3 years,Rent,Debt Consolidation,26180.67,13.9,32.0,1.0,115672.0,319638.0,1.0,0.0,151333.41666666666,0.17299992676215487,0.3618843817068058
120,Fully Paid,218988.0,Short Term,740.0,775409.0,4-6 years,Home Mortgage,Debt Consolidation,8141.88,14.9,5.0,0.0,100206.0,186230.0,0.0,0.0,64617.416666666664,0.12600132317267404,0.5380765719808839
122,Fully Paid,328262.0,Short Term,746.0,1133958.0,0-1 year,Rent,Debt Consolidation,20411.32,10.2,10.0,0.0,229463.0,472758.0,0.0,0.0,94496.5,0.21600080426259174,0.48537095088819227
123,Charged Off,663168.0,Long Term,732.0,1527296.0,2-3 years,Home Mortgage,Debt Consolidation,22145.83,17.0,8.0,0.0,331075.0,543774.0,0.0,0.0,127274.66666666667,0.17400029856687899,0.6088466899851777
126,Fully Paid,133078.0,Short Term,709.0,804460.0,0-1 year,Rent,Debt Consolidation,9117.34,12.5,10.0,0.0,111568.0,243760.0,0.0,0.0,67038.33333333333,0.1360018894662258,0.45769609451919924
132,Fully Paid,262724.0,Long Term,695.0,1229072.0,4-6 years,Rent,Debt Consolidation,21508.76,21.8,5.0,0.0,337725.0,394218.0,0.0,0.0,102422.66666666667,0.20999999999999996,0.8040318383845896
133,Fully Paid,54076.0,Short Term,744.0,485697.0,0-1 year,Rent,Debt Consolidation,2655.06,9.0,6.0,0.0,19988.0,282260.0,0.0,0.0,40474.75,0.06559793451472831,0.07081414298873379
134,Charged Off,552882.0,Long Term,686.0,1262151.0,10+ years,Rent,Debt Consolidation,23770.71,23.4,13.0,0.0,299706.0,694056.0,0.0,0.0,105179.25,0.22600189676195637,0.4318181818181818
138,Charged Off,402534.0,Short Term,741.0,3090160.0,7-9 years,Rent,Debt Consolidation,23639.8,19.6,15.0,0.0,691467.0,1332188.0,0.0,0.0,257513.33333333334,0.09180029513034924,0.5190461106090132
141,Fully Paid,286462.0,Long Term,719.0,1380426.0,10+ years,Home Mortgage,Debt Consolidation,27378.62,15.7,10.0,0.0,177916.0,335522.0,0.0,0.0,115035.5,0.23800148649764638,0.5302662716602786
142,Fully Paid,223256.0,Short Term,740.0,804916.0,7-9 years,Home Mortgage,Debt Consolidation,6774.64,34.4,13.0,0.0,308142.0,587818.0,0.0,0.0,67076.33333333333,0.10099896138230574,0.5242132768986318
143,Fully Paid,348832.0,Long Term,704.0,497306.0,0-1 year,Rent,Debt Consolidation,3257.36,13.0,4.0,0.0,90022.0,167860.0,0.0,0.0,41442.166666666664,0.0786001375410713,0.5362921482187537
144,Fully Paid,537878.0,Short Term,743.0,1296807.0,0-1 year,Home Mortgage,Debt Consolidation,24963.53,18.4,12.0,0.0,249223.0,515306.0,0.0,0.0,108067.25,0.23099995604588808,0.48364078819187045
145,Fully Paid,196460.0,Short Term,746.0,942590.0,2-3 years,Home Mortgage,Debt Consolidation,15160.1,23.5,8.0,0.0,138700.0,410718.0,0.0,0.0,78549.16666666667,0.19300141100584559,0.3377012938317775
146,Fully Paid,214786.0,Short Term,723.0,883329.0,7-9 years,Home Mortgage,Debt Consolidation,11924.97,14.3,5.0,0.0,154755.0,193314.0,0.0,0.0,73610.75,0.16200038717171064,0.8005369502467488
147,Fully Paid,109538.0,Short Term,697.0,567606.0,7-9 years,Home Mortgage,Debt Consolidation,5770.68,14.3,10.0,0.0,86716.0,151206.0,0.0,0.0,47300.5,0.12200040168708577,0.5734957607502348
149,Fully Paid,117986.0,Short Term,694.0,1886890.0,4-6 years,Rent,Debt Consolidation,3207.77,12.0,7.0,0.0,80408.0,351296.0,0.0,0.0,157240.83333333334,0.020400362501258682,0.22888959737657133
150,Fully Paid,133804.0,Short Term,725.0,1386734.0,4-6 years,Home Mortgage,Business Loan,16756.48,13.6,11.0,0.0,105450.0,260898.0,0.0,0.0,115561.16666666667,0.14500095908804428,0.4041809442770738
151,Fully Paid,87846.0,Short Term,736.0,625879.0,4-6 years,Own Home,Debt Consolidation,6988.96,50.1,16.0,0.0,96330.0,714978.0,0.0,0.0,52156.583333333336,0.1339995749977232,0.13473141830937455
152,Charged Off,332684.0,Long Term,722.0,881087.0,10+ years,Home Mortgage,Debt Consolidation,12702.26,14.5,9.0,0.0,472226.0,640266.0,0.0,0.0,73423.91666666667,0.17299894335065663,0.7375465822017724
153,Fully Paid,190498.0,Short Term,706.0,892164.0,0-1 year,Rent,Debt Consolidation,8996.12,13.2,6.0,0.0,88160.0,117744.0,0.0,0.0,74347.0,0.12100178890876566,0.7487430357385514
154,Fully Paid,448822.0,Short Term,741.0,1027444.0,0-1 year,Home Mortgage,Debt Consolidation,21576.4,33.1,8.0,0.0,669028.0,981838.0,0.0,0.0,85620.33333333333,0.25200088763961837,0.6814036531484827
155,Fully Paid,229086.0,Short Term,715.0,787626.0,7-9 years,Rent,Debt Consolidation,6543.79,23.9,7.0,1.0,71231.0,152460.0,1.0,0.0,65635.5,0.09969894340715009,0.4672110717565263
156,Charged Off,393558.0,Long Term,678.0,2317392.0,2-3 years,Own Home,Debt Consolidation,22015.3,14.7,8.0,0.0,124184.0,145552.0,0.0,0.0,193116.0,0.1140003935458481,0.8040318383845896
157,Fully Paid,151954.0,Short Term,707.0,562419.0,7-9 years,Rent,Debt Consolidation,14341.77,12.5,9.0,1.0,107692.0,219142.0,0.0,1.0,46868.25,0.30600182426269384,0.4914256509477873
159,Fully Paid,254562.0,Short Term,738.0,669123.0,4-6 years,Rent,Debt Consolidation,13549.66,17.5,13.0,0.0,261383.0,743600.0,0.0,0.0,55760.25,0.24299855183576113,0.3515102205486821
161,Charged Off,156178.0,Short Term,716.0,1124040.0,2-3 years,Rent,Other,8617.64,12.0,9.0,5.0,6194.0,108790.0,0.0,0.0,93670.0,0.092,0.05693538009008181
162,Fully Paid,645018.0,Long Term,737.0,2692471.0,10+ years,Home Mortgage,Debt Consolidation,40386.97,24.0,21.0,0.0,640376.0,1468302.0,0.0,0.0,224372.58333333334,0.17999957659711097,0.4361337109123328
163,Fully Paid,605726.0,Short Term,748.0,3609145.0,10+ years,Home Mortgage,Debt Consolidation,43610.7,23.0,10.0,0.0,378423.0,475772.0,0.0,0.0,300762.0833333333,0.14500065805059092,0.795387286347242
166,Fully Paid,174460.0,Short Term,723.0,1318429.0,2-3 years,Own Home,Other,10547.47,15.0,14.0,0.0,55176.0,443586.0,0.0,0.0,109869.08333333333,0.09600034586617862,0.12438625204582651
167,Fully Paid,768394.0,Long Term,651.0,1651252.0,2-3 years,Home Mortgage,Debt Consolidation,19264.67,29.2,6.0,0.0,421420.0,559592.0,0.0,0.0,137604.33333333334,0.14000046025682328,0.7530843900556119
168,Fully Paid,314226.0,Long Term,723.0,2638454.0,0-1 year,Home Mortgage,Other,34959.43,18.2,10.0,0.0,662815.0,969034.0,0.0,0.0,219871.16666666666,0.1589996111359152,0.6839956079972426
171,Fully Paid,263648.0,Short Term,736.0,1138518.0,7-9 years,Rent,Debt Consolidation,12808.28,15.0,6.0,1.0,61788.0,202092.0,1.0,0.0,94876.5,0.1349994993491539,0.3057419393147675
173,Fully Paid,716958.0,Short Term,718.0,1934960.0,7-9 years,Home Mortgage,Big Purchase,31765.72,10.0,9.0,0.0,168815.0,228624.0,0.0,0.0,161246.66666666666,0.19700078554595446,0.7383957939673875
174,Charged Off,459602.0,Long Term,712.0,982870.0,4-6 years,Home Mortgage,Debt Consolidation,12859.01,15.6,6.0,0.0,390621.0,468204.0,0.0,0.0,81905.83333333333,0.15699748695147883,0.8040318383845896
175,Fully Paid,405856.0,Long Term,708.0,1155751.0,10+ years,Rent,Debt Consolidation,32264.85,22.7,13.0,0.0,338181.0,594198.0,0.0,0.0,96312.58333333333,0.33500139735981194,0.5691385699716256
176,Charged Off,547580.0,Short Term,710.0,1125978.0,0-1 year,Rent,Debt Consolidation,9758.4,13.8,6.0,0.0,435328.0,790064.0,0.0,0.0,93831.5,0.10399919003746076,0.5510034630105916
177,Fully Paid,175428.0,Short Term,698.0,1136238.0,2-3 years,Rent,Essential Needs,2594.45,30.5,4.0,0.0,70832.0,96470.0,0.0,0.0,94686.5,0.02740042139058894,0.7342386234062402
180,Fully Paid,234806.0,Long Term,689.0,866799.0,7-9 years,Home Mortgage,Debt Consolidation,3676.69,14.1,4.0,2.0,86051.0,167750.0,2.0,0.0,72233.25,0.05090024330900243,0.5129716840536512
181,Charged Off,25806.0,Short Term,685.0,742976.0,7-9 years,Rent,Other,6377.16,7.1,5.0,0.0,8189.0,47432.0,0.0,0.0,61914.666666666664,0.10299918166939444,0.17264715803676842
183,Fully Paid,333124.0,Short Term,703.0,1300246.0,10+ years,Home Mortgage,Debt Consolidation,13110.76,14.6,10.0,0.0,173128.0,384032.0,0.0,0.0,108353.83333333333,0.12099950317093842,0.4508165986167819
184,Fully Paid,441276.0,Short Term,747.0,2305669.0,10+ years,Home Mortgage,Debt Consolidation,24017.52,17.8,14.0,0.0,678851.0,2245848.0,0.0,0.0,192139.08333333334,0.1250007004474623,0.3022693432503001
185,Fully Paid,327756.0,Short Term,707.0,830319.0,4-6 years,Rent,Debt Consolidation,9271.81,15.8,6.0,0.0,245727.0,292732.0,0.0,0.0,69193.25,0.1339987643303357,0.8040318383845896
187,Fully Paid,476586.0,Short Term,707.0,1403207.0,7-9 years,Rent,Debt Consolidation,18241.52,13.4,6.0,0.0,91580.0,214654.0,0.0,0.0,116933.91666666667,0.15599853763557336,0.4266400812470301
189,Fully Paid,261800.0,Short Term,738.0,1488536.0,4-6 years,Rent,Debt Consolidation,21087.72,16.5,8.0,0.0,178220.0,274780.0,0.0,0.0,124044.66666666667,0.17000102113754723,0.6485916005531698
190,Charged Off,433136.0,Long Term,682.0,1178323.0,7-9 years,Home Mortgage,Debt Consolidation,17969.44,17.6,16.0,0.0,355471.0,426514.0,0.0,0.0,98193.58333333333,0.18300014512149895,0.8040318383845896
191,Charged Off,322124.0,Long Term,716.0,1020034.0,7-9 years,Home Mortgage,Debt Consolidation,16915.32,17.8,10.0,0.0,205865.0,341506.0,0.0,0.0,85002.83333333333,0.19899713146816675,0.6028151774785802
194,Fully Paid,437668.0,Short Term,749.0,2683693.0,4-6 years,Home Mortgage,Debt Consolidation,5993.55,21.5,7.0,0.0,326496.0,562584.0,0.0,0.0,223641.08333333334,0.026799861235990853,0.5803506676336334
195,Fully Paid,377322.0,Short Term,740.0,1288162.0,0-1 year,Rent,Debt Consolidation,17068.08,36.3,8.0,0.0,358549.0,494824.0,0.0,0.0,107346.83333333333,0.15899938051269952,0.724599049358964
196,Fully Paid,606122.0,Long Term,693.0,1395911.0,10+ years,Home Mortgage,Debt Consolidation,24079.46,22.5,8.0,1.0,168378.0,332156.0,1.0,0.0,116325.91666666667,0.20699995916645114,0.5069244571827696
197,Fully Paid,520982.0,Long Term,724.0,1031111.0,10+ years,Rent,Debt Consolidation,17013.17,15.0,12.0,0.0,267976.0,475178.0,0.0,0.0,85925.91666666667,0.19799812047393536,0.5639486676571727
198,Charged Off,304590.0,Short Term,746.0,1202510.0,0-1 year,Rent,Debt Consolidation,28960.18,19.7,9.0,0.0,314830.0,619982.0,0.0,0.0,100209.16666666667,0.2889973139516511,0.5078050653083477
199,Charged Off,472362.0,Short Term,732.0,1075058.0,4-6 years,Home Mortgage,Debt Consolidation,22218.03,16.1,13.0,0.0,392369.0,542146.0,0.0,0.0,89588.16666666667,0.24800183804036616,0.7237330903483563
201,Fully Paid,149402.0,Short Term,727.0,841491.0,0-1 year,Rent,Debt Consolidation,18723.17,8.6,14.0,0.0,163571.0,539572.0,0.0,0.0,70124.25,0.26699993226309016,0.30314953333382755
202,Fully Paid,150458.0,Short Term,737.0,1330513.0,4-6 years,Home Mortgage,Debt Consolidation,4446.19,13.9,13.0,0.0,129827.0,316492.0,0.0,0.0,110876.08333333333,0.04010053265169149,0.4102062611377223
204,Fully Paid,341352.0,Long Term,712.0,751108.0,0-1 year,Home Mortgage,Debt Consolidation,10327.83,13.3,11.0,0.0,81377.0,110858.0,0.0,0.0,62592.333333333336,0.16500151775776586,0.7340652005268
205,Charged Off,432256.0,Short Term,737.0,2053216.0,10+ years,Home Mortgage,Debt Consolidation,16305.8,17.4,11.0,0.0,316331.0,638088.0,0.0,0.0,171101.33333333334,0.09529908202546639,0.49574823535311746
207,Fully Paid,79398.0,Short Term,718.0,761824.0,2-3 years,Rent,Debt Consolidation,13459.03,15.5,13.0,0.0,159315.0,317526.0,0.0,0.0,63485.333333333336,0.21200219473264167,0.5017384403166985
